price,rooms,halls,area,orientation,decoration,floor_level,total_floor,building_type,community,subdistrict
1880000.0,3.0,2.0,102.98,"南,北,",精装,高,28.0,,保利上城西区,白沙洲 
1880000.0,3.0,2.0,102.98,"南,北,",精装,高,28.0,,保利上城西区,白沙洲 
4080000.0,4.0,2.0,142.09,"南,",简装,中,28.0,板楼,保利华都,虎泉杨家湾 
3350000.0,3.0,2.0,109.94,"南,",精装,中,34.0,板楼,保利华都,虎泉杨家湾 
2350000.0,3.0,2.0,115.78,"南,",毛坯,低,34.0,板楼,保利中央公馆,新南湖 
1480000.0,3.0,2.0,106.04,"南,北,",精装,中,31.0,,东原乐见城三期,珞狮南路 
1980000.0,3.0,2.0,93.53,"南,",精装,低,32.0,塔楼,招商雍华府,南湖沃尔玛 
2380000.0,3.0,2.0,119.35,"南,北,",精装,低,11.0,板楼,金地格林小城梦茵区,南湖沃尔玛 
2110000.0,3.0,2.0,94.0,"南,",精装,高,29.0,板楼,长航蓝晶绿洲一二期,徐东 
2690000.0,3.0,2.0,113.56,"东南,",精装,高,33.0,,福星惠誉东湖城二期,东湖东亭 
1890000.0,3.0,2.0,111.75,"东南,",毛坯,中,32.0,,诺展星座,团结大道 
2050000.0,3.0,2.0,135.37,"南,",简装,中,18.0,塔楼,学雅芳邻,卓刀泉 
850000.0,3.0,2.0,78.55,"南,北,",精装,低,11.0,板楼,鑫宇花园,白沙洲 
1690000.0,3.0,2.0,105.33,"南,",毛坯,中,34.0,板楼,世茂云锦玉海园,白沙洲 
1900000.0,3.0,2.0,111.0,"南,北,西,",简装,中,7.0,板楼,教师小区,虎泉杨家湾 
2349000.0,3.0,2.0,106.14,"东南,南,北,",简装,中,34.0,塔楼,保利中央公馆,新南湖 
1050000.0,3.0,1.0,90.65,"南,",简装,低,11.0,,富强万象新城,白沙洲 
3290000.0,5.0,2.0,164.61,"南,北,",精装,中,11.0,板楼,保利心语一期,珞狮南路 
1160000.0,3.0,1.0,90.8,"南,北,",毛坯,中,49.0,,世茂林屿岸,文化大道 
1690000.0,3.0,2.0,122.85,"南,北,",简装,低,34.0,板楼,东沙花园南区,徐东 
2150000.0,3.0,1.0,97.63,"南,",精装,中,28.0,板楼,长航蓝晶绿洲一二期,徐东 
1670000.0,3.0,2.0,95.77,"南,",精装,低,40.0,,保利上城西区,白沙洲 
1830000.0,3.0,2.0,101.52,"南,",精装,中,40.0,,保利上城西区,白沙洲 
1810000.0,3.0,2.0,103.24,"南,北,",简装,高,18.0,,保利心语三期,珞狮南路 
1470000.0,3.0,2.0,127.58,"南,北,",精装,低,48.0,板楼,新城阅璟台,白沙洲 
1640000.0,3.0,1.0,90.15,"南,",精装,低,34.0,,保利城,团结大道 
3080000.0,3.0,2.0,101.0,"南,北,",简装,中,18.0,板楼,保利华都,虎泉杨家湾 
1550000.0,3.0,2.0,107.68,"南,北,",毛坯,高,8.0,板楼,融科花满庭,白沙洲 
